"John G. Roberts, Jr.","We'll hear argument next in Case 16-1220, Animal Science Products versus Hebei Welcome Pharmaceutical. Mr. Gottlieb."
Michael J. Gottlieb,"Thank you, Mr. Chief Justice, and may it please the Court: The question in this case is whether a district court is bound to accept a foreign sovereign's statement of foreign law in the unusual case in which the court has concerns about the statement's clarity, its completeness, or its consistency. The answer to that question is no. District courts have the authority to resolve their concerns by considering any relevant materials, even if they go beyond the materials presented by the sovereign. On the motion to dismiss in this case, the district court found that the amicus brief that was submitted by the Chinese Ministry of Commerce failed to answer important questions about how its Vitamin C regulations applied to the specific agreements that were identified in the complaint."
Ruth Bader Ginsburg,"May I ask you a question about your bottom line? You -- you say that the court of appeals should be reversed, but if you're right, that the court of appeals should not have taken what the Chinese Ministry said as conclusive, then wouldn't the proper bottom line be a vacate and remand so the Second Circuit can reassess, with the understanding that what the Ministry said is not conclusive?"
Michael J. Gottlieb,We do think that vacating and remanding would be an appropriate disposition.
Neil Gorsuch,"But, counsel, we actually do outsource saying what the law is sometimes in domestic law; Chevron, for example."
Michael J. Gottlieb,"There's a number of reasons, the -- the first of which is that the Chevron doctrine has a number of sort of gatekeeping steps or preconditions before this Court would even consider the reasonableness of an agency's interpretation. And so, for example, Chevron step zero and step one --"
Neil Gorsuch,All that -- all that suggests is perhaps we -- we should import a similar regime here.
Michael J. Gottlieb,"That would be quite a holding of this Court, Justice Gorsuch."
Anthony M. Kennedy,Suppose -- suppose a court said that a decision of the Supreme Court of England must be followed -- must be accepted as the law of England.
Michael J. Gottlieb,"In that circumstance, Justice Kennedy, you would have, essentially, law that was before the interpreting court."
Anthony M. Kennedy,"Well, and as Justice -- Justice Gorsuch's question indicates, we always accept the law of the state supreme court as being the law of the state."
Michael J. Gottlieb,"Justice Kennedy, this Court does not always accept that law. Generally, it defers to the -- the interpretation of the highest state court, but there are exceptions to that; for example --"
Ruth Bader Ginsburg,But it doesn't take their view of what the attorney general of the state says is the law.
Michael J. Gottlieb,"That's correct, Justice Ginsburg."
Ruth Bader Ginsburg,That's --
Michael J. Gottlieb,"The -- the highest ranking law enforcement officer of a state would not receive binding or conclusive deference on its interpretation of -- of its state law. But, importantly, Justice Kennedy, with respect to the question of a foreign court, even if presented with an opinion of a foreign nation's highest court, the task for the United States court would still remain to determine is that -- is that opinion or is that precedent binding on the question that is before me."
Stephen G. Breyer,"Fine, fine."
Michael J. Gottlieb,"The first formulation of that standard that you described, Justice Breyer, is the substantial deference standard, which is what the district court applied in this case."
Stephen G. Breyer,"So what you want us to do is to say you used the term ""defer to a reasonable interpretation"" and you should have used the term ""we give respectful deference to."" And for that reason, we would like you to reconsider the whole thing. Now I -- I -- I see that."
Michael J. Gottlieb,"Justice Breyer, if that were our position, I would expect people to smile, but that is not our position."
Stephen G. Breyer,No.
Michael J. Gottlieb,Our position is that the standard that the court of appeals applied was not a defer -- if the substance of the opinion is reasonable standard.
Stephen G. Breyer,All right.
Michael J. Gottlieb,"So, on the merits of that question, Justice Breyer, the first thing I would point out is that the Ministry's interpretation of its regulations has not been consistent through this case."
Stephen G. Breyer,"That isn't my question there, on that part."
Michael J. Gottlieb,"Absolutely, Justice Breyer."
Stephen G. Breyer,What?
Michael J. Gottlieb,"There are -- we have documents in the case repeatedly demonstrating that Chinese exporters did, in fact, sell their products in the United States at lower than the $3.35 price point."
Stephen G. Breyer,All right.
