"John G. Roberts, Jr.","We'll hear argument first this term in Case 16-285, Epic Systems Corporation versus Lewis, and the consolidated cases. Mr. Clement."
"John G. Roberts, Jr.","We'll hear argument first this term in Case 16-285, Epic Systems Corporation versus Lewis, and the consolidated cases. Mr. Clement."
Paul D. Clement,"Mr. Chief Justice, and may it please the Court: Respondents claim that arbitration agreements providing for individual arbitration that would otherwise be enforceable under the FAA are nonetheless invalid by operation of another federal statute. This Court's cases provide a well-trod path for resolving such claims."
Anthony M. Kennedy,Is that a concession that this is a concerted action?
Paul D. Clement,"Well, I -- I don't know that it is a concession that this --"
Anthony M. Kennedy,"I mean, if we adopted that premise for the opinion of the Court, wouldn't we have to say we assume that this is concerted action under the NLRA Section 7, but the FAA prevails?"
Paul D. Clement,"Well, I think what you would say, Justice Kennedy, is the concerted activity that's protected by Section 7 at most gets them to the threshold of the courthouse. But Section 7 is directed to the workplace, not the courthouse."
Ruth Bader Ginsburg,"But the courthouse, Mr. Clement -- Mr. Clement, the courthouse is not at issue here as I understand it."
Paul D. Clement,"That's right, Justice Ginsburg, but it's collective action by the employees in the workplace."
Ruth Bader Ginsburg,"Where does -- where does the NLRA say in the workplace? It says for the mutual benefit, mutual benefit and protection, mutual related protection."
Paul D. Clement,Right.
Sonia Sotomayor,"I'm sorry, but why --"
Elena Kagan,"Well, why is it directed there if it doesn't say that? I mean, in fact, we said the opposite in Eastex."
Paul D. Clement,"That's right, Justice Kagan, but the key words there are ""resort to."" There's no right in Section 7 or anywhere else in the NLRA to proceed as a class once you get there."
Stephen G. Breyer,"Well, that isn't the issue, is it? I mean -- at least to me."
Paul D. Clement,"So the short answer, Justice Breyer, and then I'd like to try to get out a longer answer, but the short answer is that, for 77 years, the Board did not find anything incompatible about Section 7 and bilateral arbitration agreements, and that includes in 2010 when the NLRB general counsel looked at this precise issue. Now, the longer answer is, from the very beginning, the most that has been protected is the resort to the forum, and then, when you get there, you're subject to the rules of the forum. So, for example, if an atypical worker decides that he wants to bring a class action on behalf of a handful of fellow employees, the -- he has the right to resort to the courts, but when he gets there, if he's confronted by an employer that says, wait a second, you don't satisfy numerosity, you don't satisfy typicality, then the employer doesn't commit an unfair labor practice by raising that argument."
Stephen G. Breyer,"No, of course not. But are you now conceding that, in these contracts in front of us, that they do not forbid two workers or three or four from going together, approaching a judicial forum, asking the judge to hear their case, or an arbitration forum, and of course, if it violates some rule of civil procedure other than that, it will be thrown out. Are you conceding that that's the issue? And then I don't know which one it violated, but nonetheless --"
Paul D. Clement,"Well, the issue is just as the employer can raise a numerosity defense or a typicality defense, the employer can raise a defense that you agreed to arbitrate this claim."
Sonia Sotomayor,Mr. Clement --
Paul D. Clement,"And that should be enforceable -- and then, when you get to the arbitration forum, just as you take Rule 23 as a given, you should take the rules of the arbitration forum as a given."
Ruth Bader Ginsburg,"Mr. Clement -- Mr. Clement, do you recognize that this kind of contract, this -- there is no true bargaining. It's the employer says you want to work here, you sign this. It's what was called a ""yellow dog"" contract."
Paul D. Clement,"I have two responses to that, Justice Ginsburg."
Sonia Sotomayor,Mr. Clement --
Ruth Bader Ginsburg,"Isn't it -- isn't it so that the -- the FAA, in its inception, was meant to deal with bargains between merchants, bargains between merchants who said the arbitration forum is much less expensive, so we want to go there, rather than the court, but it was commercial contracts that -- that triggered the FAA?"
Paul D. Clement,"Justice Ginsburg, this Court crossed that bridge in Circuit City."
Sonia Sotomayor,"But that's not true, Mr. Clement."
Paul D. Clement,So -- JUSTICE SOTOMAYOR -- if what it is doing is stopping you from taking activity that you are legally entitled to take.
Paul D. Clement,"So a couple of things, Justice Sotomayor."
Sonia Sotomayor,"Well, this issue wasn't raised there."
Paul D. Clement,"That's my point, which is to say that if, in fact, employment agreements were covered by the FAA, but if they were bilateral, they would actually be unlawful under the NLRA, boy, would that have been a useful thing to tell the Court in Circuit City. But no dog barked at that point."
Ruth Bader Ginsburg,But before the --
Paul D. Clement,"-- and when you get there, you're subject to the rules of the forum."
Anthony M. Kennedy,Let's take -- let's take two cases.
Paul D. Clement,"I think, ultimately, you decide both on the same principle."
Anthony M. Kennedy,Suppose it's for their wages.
Paul D. Clement,"If it's for their wages, I think if you have a couple of folks that are doing it in the workplace, that's concerted activity; they get to the forum and they get whatever rights to proceed concertedly that are available in the forum. If it's class action, it's arguably harder because you can file a class action and not collaborate with anybody."
Elena Kagan,"Well, Mr. Clement --"
Anthony M. Kennedy,You mean it's harder for the employer to prevail or for --
Paul D. Clement,For the employee.
Anthony M. Kennedy,"But your -- your case is really my first case, is it not? This is not really a class suit in its origins at least."
Paul D. Clement,"Well, there's three --"
Anthony M. Kennedy,Or am I wrong -- or am I wrong because there's Murphy Oil as well?
Paul D. Clement,"Yeah, there's three cases here."
Sonia Sotomayor,Is this contract --
Paul D. Clement,But once you're there --
Elena Kagan,"Mr. Clement, what about --"
Paul D. Clement,-- you're subject to the rules.
Elena Kagan,What about Section 102 and 103 of the Norris-LaGuardia Act? Because let's take Justice Kennedy's example.
Paul D. Clement,"Well, that -- that assumes the conclusion with all respect, Justice Kagan, which is, do you have --"
Elena Kagan,The only thing it assumed was that this was covered under Section 7.
Paul D. Clement,But --
Elena Kagan,You yourself said this is concerted and it's for mutual aid and protection.
Paul D. Clement,"I don't think that that's the way to read the statute, and I think the reason is that this isn't -- I don't think the way to see a traditional bilateral arbitration agreement is as a waiver of a Section 7 right or an NLGA right. It is just an effort by the employer and the employee to agree to set the rules for the forum of arbitration when you get there. And there's nothing sinister about leaving it to bilateral arbitration."
Elena Kagan,"Well, it's an agreement, but it's an agreement to waive a Section 7 right."
Paul D. Clement,"With all due respect, I think that assumes the conclusion."
"John G. Roberts, Jr.","Thank you, Mr. Clement. Mr. Wall."
Jeffrey B. Wall,"Mr. Chief Justice, and may it please the Court: I'd just like to highlight one point in what Mr. Clement said."
Jeffrey B. Wall,"Mr. Chief Justice, and may it please the Court: I'd just like to highlight one point in what Mr. Clement said."
Ruth Bader Ginsburg,"Mr. Wall, what about --"
Jeffrey B. Wall,-- from dismissal or retaliation.
Ruth Bader Ginsburg,"What about the reality? I think we have in one of these cases, in Ernst & Young, the individual claim is $1,800."
Jeffrey B. Wall,"So, Justice Ginsburg, with all respect, there are provisions in the arbitration agreements here, and they differ, that allow for payments of costs and fees."
