"John G. Roberts, Jr.","We'll hear argument this morning in Case 17-333, Benisek versus Lamone. Mr. Kimberly."
"John G. Roberts, Jr.","We'll hear argument this morning in Case 17-333, Benisek versus Lamone. Mr. Kimberly."
Michael B. Kimberly,"Mr. Chief Justice, and may it please the Court: All nine justices in Vieth against Jubelirer agreed that partisan gerrymandering can violate the Constitution."
Ruth Bader Ginsburg,"Mr. Kimberly, may I ask you a kind of preliminary question? I -- I take it it's -- it's much too late, even if you were successful, for there to be any change for the 2018 election, and if that's so -- and we're only talking about a preliminary injunction here, right?"
Michael B. Kimberly,"We are talking about a preliminary injunction, Your Honor."
Ruth Bader Ginsburg,"So how would you be irreparably injured by the denial of a preliminary injunction if the earliest that -- assuming you're right, that a redistricting could go into effect would be 2020?"
Michael B. Kimberly,"Well, Your Honor, we don't concede for purposes of this appeal that it's too late to enter relief in time for the 2018 election."
Anthony M. Kennedy,"Is there anything in the record to indicate that experts will tell you, oh, this is -- this is possible? It's --"
Michael B. Kimberly,That it's possible to enact a new --
Anthony M. Kennedy,That it's possible to comply with the injunction in time for the 2018 election.
Michael B. Kimberly,"There's nothing in the record about that, Your Honor, but that also isn't an issue that the district court has been in -- given an opportunity to address yet."
Anthony M. Kennedy,"Well, but you're asking us to then just -- just assume it."
Michael B. Kimberly,"Well, as a matter of fact, Your Honor, I think what we're asking for is just a remand for reconsideration of the preliminary injunction motion in light of what we take to be the proper legal standards."
Sonia Sotomayor,"Given the equitable principles involved in an injunction, this is -- you waited an awfully long time to bring this suit from the change in 2011, was it? Should that factor into our consideration of whether to uphold or not uphold your request?"
Michael B. Kimberly,"So I think there are two things to say about that, Your Honor."
"Samuel A. Alito, Jr.",But I don't think you finished --
"John G. Roberts, Jr.","Well, it's not -- it's not just that equitable factor."
Michael B. Kimberly,"Well, I --"
"John G. Roberts, Jr.",Is -- is it --
Michael B. Kimberly,It is true that those elections have been held.
"John G. Roberts, Jr.","Well, no, but it is evidence of the -- the question of whether you've been irreparably harmed, that you've been willing to let go."
