"John G. Roberts, Jr.","We'll hear argument next in Case 16-1027, Collins versus Virginia. Mr. Fitzgerald."
"John G. Roberts, Jr.","We'll hear argument next in Case 16-1027, Collins versus Virginia. Mr. Fitzgerald."
Matthew A. Fitzgerald,"Thank you, Mr. Chief Justice, and may it please the Court: The warrant requirement for the home and curtilage cannot be overthrown by the automobile exception. Under the Commonwealth's argument, on probable cause alone, an officer may search a vehicle anywhere that he finds it and may go anywhere that he needs to in order to access that vehicle. That rule cannot survive foundational Fourth Amendment principles."
Ruth Bader Ginsburg,Suppose the -- the police have probable cause to believe that the vehicle is stolen and they even get a warrant to inspect the vehicle.
Matthew A. Fitzgerald,"Well, Your Honor, the -- the warrant would specify the place to be searched for the car."
"Samuel A. Alito, Jr.","But what if it didn't? So they have a warrant here, let's say, to search for -- they have probable cause to search this thing covered by a -- a tarp."
Matthew A. Fitzgerald,"Well, Your Honor, the Fourth Amendment, by its terms, requires a warrant to specify the place to be searched. So if they've seen the motorcycle in that spot and they get a warrant, the warrant would say this house on Dellmead Avenue, may have included the picture, and it would, by its terms, authorize the access to that."
"Samuel A. Alito, Jr.",And this is my question about your argument based on the curtilage.
Matthew A. Fitzgerald,"Well, Your Honor, so here's -- here's the way that I think about that: If you're looking at the terms that support the automobile exception, you have ready mobility and you have the lessened expectation of privacy. But the curtilage and the home are essentially more important concerns than that. So, for instance, if I had a fistful of cocaine and I'm out in public, cocaine is extremely readily mobile."
"Samuel A. Alito, Jr.","Yeah -- no, I think the privacy interests would be quite different if this was in the house or if it was in the garage, but this is not in either of those places."
Matthew A. Fitzgerald,"It's visible from the street from directly at the end of the driveway, yes, Your Honor."
Sonia Sotomayor,"How much does your argument depend on us viewing this as two things: One, a trespass on private property, the curtilage, and then a search within that private space? Is your argument hinged on that distinction?"
Matthew A. Fitzgerald,"Well, I think we make that distinction because it's important just to make sense of the Fourth Amendment to think about it step-by-step."
"Samuel A. Alito, Jr.","So if this motorcycle were parked on the street and it was covered by a tarp, you would say that the motor vehicle exception doesn't apply because it's covered by a tarp?"
Matthew A. Fitzgerald,"No, Your Honor."
"Samuel A. Alito, Jr.",So what's the relevance of the tarp?
Matthew A. Fitzgerald,"The relevance of the tarp is essentially that there is a -- there is some expectation of privacy in a tarp, particularly placed within the curtilage of the home."
Sonia Sotomayor,So what difference does it make that the tarp was there?
Matthew A. Fitzgerald,"The tarp perhaps makes it particularly clear that the officer was undergoing a search, not just, say, walking where he could have said, oh, this is almost on the way --"
Sonia Sotomayor,"Counsel, let's change the hypothetical."
Matthew A. Fitzgerald,Right.
Sonia Sotomayor,-- have to open the car door.
Matthew A. Fitzgerald,I don't think you would have to move something on the motorcycle. And so --
Sonia Sotomayor,Let's just assume that.
Matthew A. Fitzgerald,So if there --
Sonia Sotomayor,Does your argument still stand?
Matthew A. Fitzgerald,"Yes, Your Honor."
Stephen G. Breyer,"Well, why? Because, I mean, suppose the policeman is standing on the sidewalk."
Matthew A. Fitzgerald,"Close, Your Honor. So if --"
Stephen G. Breyer,What is the law there?
Matthew A. Fitzgerald,If an officer standing on the sidewalk looks into the window of a house and sees a pile of drugs through the window --
Stephen G. Breyer,Yeah.
Matthew A. Fitzgerald,-- that creates probable cause that would permit the officer to get a warrant to go into the house.
Stephen G. Breyer,"Well, so he goes, gets a warrant, and they throw it all down the sink --"
Matthew A. Fitzgerald,"Well, this --"
Stephen G. Breyer,"-- and, of course, there is nothing by the time he comes back."
Matthew A. Fitzgerald,If --
Stephen G. Breyer,"-- but you know the area of this law better than I do, I -- I guess, and that isn't so."
Matthew A. Fitzgerald,So it's not impossible that there would be an exigent circumstance there.
Stephen G. Breyer,"Well, no, I've given you the facts."
Matthew A. Fitzgerald,It's -- it's particularly important to that hypothetical that there's someone wandering around inside --
Stephen G. Breyer,Okay.
Matthew A. Fitzgerald,-- because the introduction of the person is important --
Stephen G. Breyer,He has reason to think there's somebody in the house.
Matthew A. Fitzgerald,Right.
Stephen G. Breyer,Or no --
Matthew A. Fitzgerald,"-- an exigency could be created, if there's a person who's wandering --"
Stephen G. Breyer,All right.
Matthew A. Fitzgerald,"So just to be clear, in this case, the Supreme Court of Virginia steered away from exigency and said, no, we're not going --"
Stephen G. Breyer,I know that.
Matthew A. Fitzgerald,It -- it is not a case about exigent circumstance.
Stephen G. Breyer,But you just told me I'm wrong.
Matthew A. Fitzgerald,This is not an exigency case.
Stephen G. Breyer,"No, no, I know that. What I'm trying to get at is I suddenly thought: I don't understand this case because you said the circumstance is the same without a tarp."
Matthew A. Fitzgerald,So the --
Stephen G. Breyer,That's why I asked the question.
Matthew A. Fitzgerald,"So the officer testified that when he arrived at the property, there was no one home."
Elena Kagan,"Mr. Fitzgerald -- I'm sorry, did you --"
Matthew A. Fitzgerald,There -- there's no obvious exigency here and that would be an issue for remand in this case.
Elena Kagan,"Can I go back to the exchange that you had with Justice Alito? When you gave your hypothetical about the drugs and he said, well, that would be different, it would be -- it's very different in a home, but here you have the motorcycle parked out in the open, on the driveway in this enclosure, where you can see it from the street. And I guess this is the question I want to ask you."
Matthew A. Fitzgerald,Yes.
Elena Kagan,"You know, it's not -- it's not disputed here."
Matthew A. Fitzgerald,"Yes, Your Honor."
Ruth Bader Ginsburg,Isn't it a problem --
"Samuel A. Alito, Jr.",But the --
Ruth Bader Ginsburg,-- whose -- whose curtilage it is? Here we're told that there was a close relationship between the defendant and the homeowner.
Ruth Bader Ginsburg,And it's the same -- parked the same way.
Matthew A. Fitzgerald,"So -- so you may, Your Honor, be -- it sounds like you are describing a difficult case of Fourth Amendment standing or right to object."
"Samuel A. Alito, Jr.","Did -- coming back to Justice -- to the -- to the question, did we say in Jardines that the curtilage is to be treated the same as the house for all Fourth Amendment purposes? I thought the issue in Jardines was whether -- was whether officers who did not have probable cause were permitted to walk up to the front of the house, at which point they acquired probable cause."
Matthew A. Fitzgerald,"Well, yes, Your Honor."
Sonia Sotomayor,"Counsel, we permit the police to seize items in plain view in a home."
Matthew A. Fitzgerald,The -- the record is unclear.
Sonia Sotomayor,But how do you --
Matthew A. Fitzgerald,-- but -- but it's --
Sonia Sotomayor,"-- address the way I'm looking at this, which is --"
Matthew A. Fitzgerald,It's --
Sonia Sotomayor,"-- the police are standing there, they see something and have probable cause to believe that it's incriminating evidence."
Matthew A. Fitzgerald,"So, Your Honor, this is not a plain view case, because in Horton versus California, the Court said, in order for plain view to apply to allow the seizure of the thing, the officer must have a right of access to the thing itself. So there's no right of access. There's no implied license to go into the curtilage to look for evidence that you have seen."
"Samuel A. Alito, Jr.",Do you dispute the fact that they had probable cause to believe that the thing that they saw covered by the tarp was the motorcycle they were looking for?
Matthew A. Fitzgerald,We do not dispute that.
"Samuel A. Alito, Jr.",Okay.
Matthew A. Fitzgerald,"And so, ultimately, here this is a fairly straightforward case, I think."
