"John G. Roberts, Jr.","We'll hear argument this morning in Case 16-402, Carpenter versus United States."
"John G. Roberts, Jr.","We'll hear argument this morning in Case 16-402, Carpenter versus United States."
Nathan Freed Wessler,Thank you.
Anthony M. Kennedy,"So what -- what is the rule that you want us to adopt in this case, assuming that we keep Miller -- Miller and Smith versus Maryland on the books?"
Nathan Freed Wessler,The rule we seek is that longer-term periods or aggregations of cell site location information is a search and requires a warrant.
"Samuel A. Alito, Jr.",How would you distinguish Miller?
Nathan Freed Wessler,"Miller involved more limited records, certainly they could reveal some sensitive information, but more limited records and, as this Court held, they were voluntarily conveyed in that they were created by the passing of negotiable instruments into the stream of commerce to transfer funds. What we have here is both more sensitive and less voluntary."
"Samuel A. Alito, Jr.","Why is it more -- why is it more sensitive? Why is cell site location information more sensitive than bank records, which particularly today, when a lot of people don't use cash much, if at all, a bank record will disclose purchases? It will not only disclose -- everything that the person buys, it will not only disclose locations, but it will disclose things that can be very sensitive."
Nathan Freed Wessler,"I absolutely agree, Justice Alito, that the information in bank records can be quite sensitive, but what it cannot do is chart a minute-by-minute account of a person's locations and movements and associations over a long period regardless of what the person is doing at any given moment."
"Samuel A. Alito, Jr.","Yeah, I understand that."
Anthony M. Kennedy,And particularly --
"Samuel A. Alito, Jr.",-- and all sorts of other things.
Anthony M. Kennedy,Particularly because the information in the bank records that Justice Alito referred to are not publicly known.
Nathan Freed Wessler,"Well, I -- I don't agree, Your Honor, for the following reason: When a person is engaged in a financial transaction, passing a -- a check, a negotiable instrument, that's an interpersonal transaction where a person has full knowledge that they are putting something into the stream of commerce to transfer funds directed at their -- their bank. As the five concurring justices made clear in Jones, although we may, when we step outside, have a reasonable expectation that someone may see where we go in a short period, nobody has expected in -- in a free society that our longer-term locations will be aggregated and tracked in the way that they can be here."
Ruth Bader Ginsburg,You keep emphasizing longer term.
Anthony M. Kennedy,"Yes, I was going to ask about that."
Ruth Bader Ginsburg,"Now, suppose what was sought here was the CSLI information for the day of each robbery, just one day, the day of each robbery."
Nathan Freed Wessler,"So the -- Your Honor, the -- the rule we proposed would be a single 24-hour period, contiguous 24-hour period. Now, the only other court to address this question is the --"
Sonia Sotomayor,"I'm sorry, which -- in which way are you talking about? What rule?"
Nathan Freed Wessler,So -- sorry.
Sonia Sotomayor,But Justice Ginsburg is not asking you about 24 hours or anything else.
Nathan Freed Wessler,"Justice Sotomayor, yes. I -- I think that would not be affected at all by -- by this case."
Sonia Sotomayor,So what's the difference between a tower dump and targeting a particular individual? Let's say an anonymous call came in that said John X or John Doe was at a particular -- was the robber. Could the police then say to the telephone company let me see the records of John Doe for that hour or for that day or whatever the -- the duration of the crime was?
Nathan Freed Wessler,Yes.
Sonia Sotomayor,All right.
Ruth Bader Ginsburg,"Mr. Wessler, could we go back to my question? You said 24 hours roughly."
Nathan Freed Wessler,"So, Your -- Your Honor, we've suggested 24 hours."
"John G. Roberts, Jr.","No, now --"
Ruth Bader Ginsburg,"Well, what -- if it's reasonable for one robbery, one day, why wouldn't it be reasonable -- equally reasonable for each other robbery?"
Nathan Freed Wessler,"Well, I -- I think the risk is a risk of circumvention of this Court's rule from Jones and of whatever the durational requirement is."
Anthony M. Kennedy,But the -- the longer term is more corroborative perhaps of innocence.
Nathan Freed Wessler,Well --
Anthony M. Kennedy,It seems to me that the -- the rule you're proposing might be -- avoid in -- exculpatory information.
Nathan Freed Wessler,"Well, Your Honor, we would fully expect that if the government obtained a short period of data that was -- appeared to be inculpatory, that would provide probable cause for a warrant to gather a much wider amount of data if -- if needed, or in the pretrial process, the defendant, him or herself, could obtain other records from the carrier and use those as exculpatory evidence. Though the concern here is with the privacy invasion, which is quite severe over the long term, over these more than four months of data."
Elena Kagan,It would help me --
"John G. Roberts, Jr.","I want to understand the -- the basis for the 24-hour, however long you want it to be, exception."
Nathan Freed Wessler,"So the -- the only other court to address this question is the Supreme Judicial Court of Massachusetts, which drew the line at six hours."
"John G. Roberts, Jr.","Well, I don't understand."
Nathan Freed Wessler,"Well, Your Honor, certainly we would be perfectly happy with a rule from this Court requiring a warrant as a per se matter."
"John G. Roberts, Jr.","Well, another thing the government's never had is the ability to go back even for 24 hours and basically test everybody, everybody in the whole community or anyone who happened to be there. So I don't know why that isn't a consideration that cuts against preserving 24 hours two months ago. The government didn't have the capability of tracking a particular individual, or every individual, and they find out later that's the one they want, so I -- I don't understand the coherence of your argument on that point."
Nathan Freed Wessler,"Well, I -- I do think that a different concern would be raised by the -- the tower dump type situation that Justice Sotomayor posited."
Sonia Sotomayor,"But isn't that the same concern here? And that's why I -- I'm differentiating between incident-related searches and basically dragnet searches when you're looking at what a person is doing over 127, 30, 40, even 24 hours, which is it's not related to any legitimate police need to invade the privacy of a person over a 24-hour period, unless there's a suggestion that the crime occurred during that entire 24-hour period. So that's why I asked you is there a difference between saying if police have cause to believe a crime has been committed, can they ask for records related to that individual crime, even if it happened on one day, a second day, a fourth day, a 10th day, so long as they're limiting their search as related to a criminal activity, as opposed to a dragnet sweep of everybody's intimate details? Because right now we're only talking about the cell sites records, but as I understand it, a cell phone can be pinged in your bedroom."
Nathan Freed Wessler,"Your Honor, first, you're absolutely correct that today, in the seven years that have elapsed since the data was gathered in this case, network technology has advanced quite markedly. And today not only is data gathered for phone calls but also text messages and data connections, including when a phone is in a pocket passively and automatically checking for new e-mails or social media messages or weather alerts, and today the government is able to obtain historical cell site location information that can locate a person as precisely as half the size of this courtroom."
"Samuel A. Alito, Jr.","Well, you know, Mr. Wessler, I -- I agree with you that this new technology is raising very serious privacy concerns, but I need to know how much of existing precedent you want us to overrule or declare obsolete. And if I could, I'd just like to take you back briefly to -- to Miller and ask on what grounds that can be distinguished."
Nathan Freed Wessler,So both Miller and Smith identified at least two factors to take into account in the reasonable expectation of privacy analysis: the nature of the records or their sensitivity and whether they're voluntarily conveyed. And I think here there is also a great distinction on voluntariness.
"Samuel A. Alito, Jr.","Well, I mean, that's a debatable empirical point whether people realize what's -- what's going on, and there's reason to think maybe they do. I mean, people know, there -- there were all these commercials, ""can you hear me now,"" our company has lots of towers everywhere."
Nathan Freed Wessler,"Three points, Your Honor."
"Samuel A. Alito, Jr.",Except as provided by law.
Ruth Bader Ginsburg,"As to -- as to other -- as to other private persons, not as to the government."
Nathan Freed Wessler,That's right.
